seed,fold,group_id,role,stratify_label,eligible_for_eval,n_slides
2,0,73,train,C,True,3
2,0,36,train,C,True,8
2,0,4,train,A,True,3
2,0,13,train,C,True,3
2,0,48,train,A,True,4
2,0,71,train,C,True,3
2,0,25,train,C,True,8
2,0,46,train,C,True,5
2,0,22,train,B,True,3
2,0,2,train,C,True,3
2,0,43,train,C,True,7
2,0,18,train,A,True,3
2,0,72,train,B,True,3
2,0,34,train,C,True,3
2,0,7,train,A,True,3
2,0,42,train,C,True,3
2,0,41,train,B,True,5
2,0,57,train,B,True,3
2,0,20,train,B,True,3
2,0,6,train,A,True,3
2,0,5,train,B,True,3
2,0,45,train,B,True,4
2,0,11,train,B,True,3
2,0,16,train,C,True,4
2,0,23,train,B,True,3
2,0,69,train,A,True,8
2,0,40,train,C,True,3
2,0,27,train,B,True,3
2,0,44,train,C,True,10
2,0,35,train,B,True,3
2,0,70,train,C,True,5
2,0,1,train,A,True,3
2,0,19,train,C,True,3
2,0,47,train,C,True,5
2,0,17,train,C,True,3
2,0,28,train,A,True,3
2,0,8,train,C,True,3
2,0,30,train,B,True,3
2,0,51,train,A,False,2
2,0,53,train,A,False,2
2,0,54,train,A,False,2
2,0,55,train,C,False,2
2,0,56,train,B,False,2
2,0,58,train,B,False,2
2,0,62,train,B,False,2
2,0,63,train,A,False,2
2,0,64,train,B,False,1
2,0,65,train,C,False,1
2,0,66,train,A,False,1
2,0,67,train,C,False,1
2,0,31,val,C,True,3
2,0,29,val,B,True,3
2,0,24,val,C,True,3
2,0,14,val,B,True,3
2,0,3,val,C,True,3
2,0,38,val,A,True,3
2,0,32,val,C,True,4
2,0,9,test,C,True,3
2,0,10,test,C,True,3
2,0,12,test,B,True,3
2,0,15,test,A,True,3
2,0,21,test,B,True,3
2,0,26,test,A,True,3
2,0,33,test,A,True,3
2,0,37,test,B,True,8
2,0,39,test,C,True,3
2,0,49,test,C,True,6
2,0,50,test,B,True,3
2,0,52,test,C,True,3
2,0,59,test,C,True,3
2,0,60,test,C,True,3
2,0,61,test,B,True,3
2,0,68,test,C,True,6
2,1,72,train,B,True,3
2,1,31,train,C,True,3
2,1,50,train,B,True,3
2,1,33,train,A,True,3
2,1,73,train,C,True,3
2,1,2,train,C,True,3
2,1,43,train,C,True,7
2,1,61,train,B,True,3
2,1,48,train,A,True,4
