seed,fold,group_id,role,stratify_label,eligible_for_eval,n_slides
3,0,2,train,C,True,3
3,0,59,train,C,True,3
3,0,73,train,C,True,3
3,0,52,train,C,True,3
3,0,36,train,C,True,8
3,0,4,train,A,True,3
3,0,30,train,B,True,3
3,0,22,train,B,True,3
3,0,15,train,A,True,3
3,0,57,train,B,True,3
3,0,38,train,A,True,3
3,0,46,train,C,True,5
3,0,27,train,B,True,3
3,0,70,train,C,True,5
3,0,33,train,A,True,3
3,0,34,train,C,True,3
3,0,50,train,B,True,3
3,0,23,train,B,True,3
3,0,71,train,C,True,3
3,0,24,train,C,True,3
3,0,13,train,C,True,3
3,0,26,train,A,True,3
3,0,25,train,C,True,8
3,0,69,train,A,True,8
3,0,11,train,B,True,3
3,0,48,train,A,True,4
3,0,20,train,B,True,3
3,0,16,train,C,True,4
3,0,1,train,A,True,3
3,0,29,train,B,True,3
3,0,19,train,C,True,3
3,0,31,train,C,True,3
3,0,32,train,C,True,4
3,0,37,train,B,True,8
3,0,35,train,B,True,3
3,0,39,train,C,True,3
3,0,43,train,C,True,7
3,0,5,train,B,True,3
3,0,51,train,A,False,2
3,0,53,train,A,False,2
3,0,54,train,A,False,2
3,0,55,train,C,False,2
3,0,56,train,B,False,2
3,0,58,train,B,False,2
3,0,62,train,B,False,2
3,0,63,train,A,False,2
3,0,64,train,B,False,1
3,0,65,train,C,False,1
3,0,66,train,A,False,1
3,0,67,train,C,False,1
3,0,9,val,C,True,3
3,0,14,val,B,True,3
3,0,47,val,C,True,5
3,0,3,val,C,True,3
3,0,18,val,A,True,3
3,0,72,val,B,True,3
3,0,8,val,C,True,3
3,0,6,test,A,True,3
3,0,7,test,A,True,3
3,0,10,test,C,True,3
3,0,12,test,B,True,3
3,0,17,test,C,True,3
3,0,21,test,B,True,3
3,0,28,test,A,True,3
3,0,40,test,C,True,3
3,0,41,test,B,True,5
3,0,42,test,C,True,3
3,0,44,test,C,True,10
3,0,45,test,B,True,4
3,0,49,test,C,True,6
3,0,60,test,C,True,3
3,0,61,test,B,True,3
3,0,68,test,C,True,6
3,1,42,train,C,True,3
3,1,32,train,C,True,4
3,1,34,train,C,True,3
3,1,72,train,B,True,3
3,1,69,train,A,True,8
3,1,18,train,A,True,3
3,1,71,train,C,True,3
3,1,70,train,C,True,5
3,1,46,train,C,True,5
3,1,7,train,A,True,3
3,1,43,train,C,True,7
3,1,20,train,B,True,3
3,1,3,train,C,True,3
3,1,12,train,B,True,3
3,1,9,train,C,True,3
3,1,48,train,A,True,4
3,1,13,train,C,True,3
3,1,50,train,B,True,3
3,1,40,train,C,True,3
3,1,61,train,B,True,3
3,1,68,train,C,True,6
3,1,30,train,B,True,3
3,1,14,train,B,True,3
3,1,17,train,C,True,3
3,1,38,train,A,True,3
3,1,6,train,A,True,3
3,1,10,train,C,True,3
3,1,59,train,C,True,3
3,1,27,train,B,True,3
3,1,49,train,C,True,6
3,1,41,train,B,True,5
3,1,36,train,C,True,8
3,1,11,train,B,True,3
3,1,21,train,B,True,3
3,1,5,train,B,True,3
3,1,25,train,C,True,8
3,1,15,train,A,True,3
3,1,16,train,C,True,4
3,1,57,train,B,True,3
3,1,51,train,A,False,2
3,1,53,train,A,False,2
3,1,54,train,A,False,2
3,1,55,train,C,False,2
3,1,56,train,B,False,2
3,1,58,train,B,False,2
3,1,62,train,B,False,2
3,1,63,train,A,False,2
3,1,64,train,B,False,1
3,1,65,train,C,False,1
3,1,66,train,A,False,1
3,1,67,train,C,False,1
3,1,44,val,C,True,10
3,1,28,val,A,True,3
3,1,45,val,B,True,4
3,1,26,val,A,True,3
3,1,2,val,C,True,3
3,1,23,val,B,True,3
3,1,60,val,C,True,3
3,1,1,test,A,True,3
3,1,4,test,A,True,3
3,1,8,test,C,True,3
3,1,19,test,C,True,3
3,1,22,test,B,True,3
3,1,24,test,C,True,3
3,1,29,test,B,True,3
3,1,31,test,C,True,3
3,1,33,test,A,True,3
3,1,35,test,B,True,3
3,1,37,test,B,True,8
3,1,39,test,C,True,3
3,1,47,test,C,True,5
3,1,52,test,C,True,3
3,1,73,test,C,True,3
3,2,28,train,A,True,3
3,2,3,train,C,True,3
3,2,41,train,B,True,5
3,2,19,train,C,True,3
3,2,11,train,B,True,3
3,2,2,train,C,True,3
3,2,10,train,C,True,3
3,2,12,train,B,True,3
