seed,fold,group_id,role,stratify_label,eligible_for_eval,n_slides
1,0,49,train,C,True,6
1,0,72,train,B,True,3
1,0,50,train,B,True,3
1,0,48,train,A,True,4
1,0,68,train,C,True,6
1,0,46,train,C,True,5
1,0,16,train,C,True,4
1,0,28,train,A,True,3
1,0,25,train,C,True,8
1,0,9,train,C,True,3
1,0,42,train,C,True,3
1,0,24,train,C,True,3
1,0,6,train,A,True,3
1,0,17,train,C,True,3
1,0,20,train,B,True,3
1,0,4,train,A,True,3
1,0,35,train,B,True,3
1,0,11,train,B,True,3
1,0,33,train,A,True,3
1,0,39,train,C,True,3
1,0,27,train,B,True,3
1,0,47,train,C,True,5
1,0,5,train,B,True,3
1,0,52,train,C,True,3
1,0,32,train,C,True,4
1,0,69,train,A,True,8
1,0,57,train,B,True,3
1,0,10,train,C,True,3
1,0,13,train,C,True,3
1,0,61,train,B,True,3
1,0,34,train,C,True,3
1,0,14,train,B,True,3
1,0,29,train,B,True,3
1,0,38,train,A,True,3
1,0,21,train,B,True,3
1,0,71,train,C,True,3
1,0,8,train,C,True,3
1,0,7,train,A,True,3
1,0,51,train,A,False,2
1,0,53,train,A,False,2
1,0,54,train,A,False,2
1,0,55,train,C,False,2
1,0,56,train,B,False,2
1,0,58,train,B,False,2
1,0,62,train,B,False,2
1,0,63,train,A,False,2
1,0,64,train,B,False,1
1,0,65,train,C,False,1
1,0,66,train,A,False,1
1,0,67,train,C,False,1
1,0,70,val,C,True,5
1,0,44,val,C,True,10
1,0,59,val,C,True,3
1,0,37,val,B,True,8
1,0,36,val,C,True,8
1,0,45,val,B,True,4
1,0,18,val,A,True,3
1,0,1,test,A,True,3
1,0,2,test,C,True,3
1,0,3,test,C,True,3
1,0,12,test,B,True,3
1,0,15,test,A,True,3
1,0,19,test,C,True,3
1,0,22,test,B,True,3
1,0,23,test,B,True,3
1,0,26,test,A,True,3
1,0,30,test,B,True,3
1,0,31,test,C,True,3
1,0,40,test,C,True,3
1,0,41,test,B,True,5
1,0,43,test,C,True,7
1,0,60,test,C,True,3
1,0,73,test,C,True,3
1,1,73,train,C,True,3
1,1,40,train,C,True,3
1,1,11,train,B,True,3
1,1,12,train,B,True,3
1,1,15,train,A,True,3
1,1,31,train,C,True,3
1,1,28,train,A,True,3
1,1,9,train,C,True,3
1,1,8,train,C,True,3
1,1,39,train,C,True,3
1,1,10,train,C,True,3
1,1,50,train,B,True,3
1,1,7,train,A,True,3
1,1,72,train,B,True,3
1,1,14,train,B,True,3
1,1,33,train,A,True,3
1,1,68,train,C,True,6
1,1,48,train,A,True,4
1,1,30,train,B,True,3
1,1,5,train,B,True,3
1,1,20,train,B,True,3
1,1,16,train,C,True,4
1,1,2,train,C,True,3
1,1,59,train,C,True,3
1,1,34,train,C,True,3
1,1,38,train,A,True,3
1,1,29,train,B,True,3
1,1,23,train,B,True,3
1,1,60,train,C,True,3
1,1,71,train,C,True,3
1,1,41,train,B,True,5
1,1,27,train,B,True,3
1,1,70,train,C,True,5
1,1,17,train,C,True,3
1,1,52,train,C,True,3
1,1,1,train,A,True,3
1,1,43,train,C,True,7
1,1,22,train,B,True,3
1,1,19,train,C,True,3
1,1,51,train,A,False,2
1,1,53,train,A,False,2
1,1,54,train,A,False,2
1,1,55,train,C,False,2
1,1,56,train,B,False,2
1,1,58,train,B,False,2
1,1,62,train,B,False,2
1,1,63,train,A,False,2
1,1,64,train,B,False,1
1,1,65,train,C,False,1
1,1,66,train,A,False,1
1,1,67,train,C,False,1
1,1,44,val,C,True,10
1,1,3,val,C,True,3
1,1,61,val,B,True,3
1,1,21,val,B,True,3
1,1,18,val,A,True,3
1,1,32,val,C,True,4
1,1,26,val,A,True,3
1,1,4,test,A,True,3
1,1,6,test,A,True,3
1,1,13,test,C,True,3
1,1,24,test,C,True,3
1,1,25,test,C,True,8
1,1,35,test,B,True,3
1,1,36,test,C,True,8
1,1,37,test,B,True,8
1,1,42,test,C,True,3
1,1,45,test,B,True,4
1,1,46,test,C,True,5
1,1,47,test,C,True,5
1,1,49,test,C,True,6
1,1,57,test,B,True,3
1,1,69,test,A,True,8
1,2,36,train,C,True,8
1,2,47,train,C,True,5
1,2,12,train,B,True,3
1,2,60,train,C,True,3
1,2,19,train,C,True,3
1,2,20,train,B,True,3
1,2,42,train,C,True,3
1,2,46,train,C,True,5
1,2,73,train,C,True,3
1,2,11,train,B,True,3
